Name_RN-Наименование радионуклида (рус);MZUA-МЗУА, Бк/кг;MZA-МЗА, Бк
тритий;1000000000;1000000000
бериллий-7;1000000;10000000
бериллий-10;10000000;1000000
углерод-11;10000;1000000
углерод-14;10000000;10000000
азот-13;100000;1000000000
кислород-15;100000;1000000000
фтор-18;10000;1000000
натрий-22;10000;1000000
натрий-24;10000;100000
магний-28;10000;100000
алюминий-26;10000;100000
кремний-31;1000000;1000000
кремний-32;1000000;1000000
фосфор-32;1000000;100000
фосфор-33;100000000;100000000
сера-35;100000000;100000000
хлор-36;10000000;1000000
хлор-38;10000;100000
хлор-39;10000;100000
аргон-37;1000000000;100000000
аргон-39;10000000000;10000
аргон-41;100000;1000000000
калий-40;100000;1000000
калий-42;100000;1000000
калий-43;10000;1000000
калий-44;10000;100000
калий-45;10000;100000
кальций-41;100000000;10000000
кальций-45;10000000;10000000
кальций-47;10000;1000000
скандий-43;10000;1000000
скандий-44;10000;100000
скандий-44м;10000;100000
скандий-46;10000;1000000
скандий-47;100000;1000000
скандий-48;10000;100000
скандий-49;1000000;100000
титан-44;10000;100000
титан-45;10000;1000000
ванадий-47;10000;100000
ванадий-48;10000;100000
ванадий-49;10000000;10000000
хром-48;100000;1000000
хром-49;10000000;10000000
хром-51;1000000;10000000
марганец-51;10000;100000
марганец-52;10000;100000
марганец-52м;10000;100000
марганец-53;10000000;1000000000
марганец-54;10000;1000000
марганец-56;10000;100000
железо-52;10000;1000000
железо-55;10000000;1000000
железо-59;10000;1000000
железо-60;100000;100000
кобальт-55;10000;1000000
кобальт-56;10000;100000
кобальт-57;100000;1000000
кобальт-58;10000;1000000
кобальт-58м;10000000;10000000
кобальт-60;10000;100000
кобальт-60м;1000000;1000000
кобальт-61;100000;1000000
кобальт-62м;10000;100000
никель-56;10000;1000000
никель-57;10000;1000000
никель-59;10000000;100000000
никель-63;100000000;100000000
никель-65;10000;1000000
никель-66;10000000;10000000
медь-60;10000;100000
медь-61;10000;1000000
медь-64;100000;1000000
медь-67;100000;1000000
цинк-62;100000;1000000
цинк-63;10000;100000
цинк-65;10000;1000000
цинк-69;10000000;1000000
цинк-69м;100000;1000000
цинк-71м;10000;1000000
цинк-72;100000;1000000
галлий-65;10000;100000
галлий-66;10000;100000
галлий-67;100000;1000000
галлий-68;10000;100000
галлий-70;100000;1000000
галлий-72;10000;100000
галлий-73;100000;1000000
германий-66;10000;1000000
германий-67;10000;100000
германий-68;10000;100000
германий-69;10000;1000000
германий-71;10000000;100000000
германий-75;1000000;1000000
германий-77;10000;100000
германий-78;100000;1000000
мышьяк-69;10000;100000
мышьяк-70;10000;100000
мышьяк-71;10000;1000000
мышьяк-72;10000;100000
мышьяк-73;1000000;10000000
мышьяк-74;10000;1000000
мышьяк-76;100000;100000
мышьяк-77;1000000;1000000
мышьяк-78;10000;100000
селен-70;10000;1000000
селен-73;10000;1000000
селен-73м;100000;1000000
селен-75;100000;1000000
селен-79;10000000;10000000
селен-81;1000000;1000000
селен-81м;1000000;10000000
селен-83;10000;100000
бром-74;10000;100000
бром-74м;10000;100000
бром-75;10000;1000000
бром-76;10000;100000
бром-77;100000;1000000
бром-80;100000;100000
бром-80м;1000000;10000000
бром-82;10000;1000000
бром-83;1000000;1000000
бром-84;10000;100000
криптон-81;10000000;10000000
криптон-85;100000000;10000
криптон-85м;1000000;10000000000
криптон-87;100000;1000000000
криптон-88;100000;1000000000
рубидий-79;10000;100000
рубидий-81;10000;1000000
рубидий-81м;1000000;10000000
рубидий-82м;10000;1000000
рубидий-83;100000;1000000
рубидий-84;10000;1000000
рубидий-86;100000;100000
рубидий-88;100000;100000
рубидий-89;100000;100000
стронций-80;1000000;10000000
стронций-81;10000;100000
стронций-82;10000;100000
стронций-83;10000;1000000
стронций-85;100000;1000000
стронций-85м;100000;10000000
стронций-87м;100000;1000000
стронций-89;1000000;1000000
стронций-90;100000;10000
стронций-91;10000;100000
стронций-92;10000;1000000
иттрий-86;10000;100000
иттрий-86м;100000;10000000
иттрий-87;10000;1000000
иттрий-88;10000;1000000
иттрий-90;1000000;100000
иттрий-90м;10000;1000000
иттрий-91;1000000;1000000
иттрий-91м;100000;1000000
иттрий-92;100000;100000
иттрий-93;100000;100000
иттрий-94;10000;100000
иттрий-95;10000;100000
цирконий-86;100000;10000000
цирконий-88;100000;1000000
цирконий-89;10000;1000000
цирконий-93;1000000;10000000
цирконий-95;10000;1000000
цирконий-97;10000;100000
ниобий-88;10000;100000
ниобий-89;10000;100000
ниобий-89м;10000;100000
ниобий-90;10000;100000
ниобий-93м;10000000;10000000
ниобий-94;10000;1000000
ниобий-95;10000;1000000
ниобий-95м;100000;10000000
ниобий-96;10000;100000
ниобий-97;10000;1000000
ниобий-98;10000;100000
молибден-90;10000;1000000
молибден-93;1000000;100000000
молибден-93м;10000;1000000
молибден-99;100000;1000000
молибден-101;10000;1000000
технеций-93;10000;1000000
технеций-93м;10000;1000000
технеций-94;10000;1000000
технеций-94м;10000;100000
технеций-95;10000;1000000
технеций-95м;10000;1000000
технеций-96;10000;1000000
технеций-96м;1000000;10000000
технеций-97;1000000;100000000
технеций-97м;1000000;10000000
технеций-98;10000;1000000
технеций-99;10000000;10000000
технеций-99м;100000;10000000
технеций-101;100000;1000000
технеций-104;10000;1000000
рутений-94;100000;1000000
рутений-97;100000;10000000
рутений-103;100000;1000000
рутений-105;10000;1000000
рутений-106;100000;100000
родий-99;10000;1000000
родий-99м;10000;1000000
родий-100;10000;1000000
родий-101;100000;10000000
родий-101м;100000;10000000
родий-102;10000;1000000
родий-102м;100000;1000000
родий-103м;10000000;100000000
родий-105;100000;10000000
родий-106м;10000;100000
родий-107;100000;1000000
палладий-100;100000;10000000
палладий-101;100000;1000000
палладий-103;1000000;100000000
палладий-107;100000000;100000000
палладий-109;1000000;1000000
серебро-102;10000;1000000
серебро-103;10000;1000000
серебро-104;10000;1000000
серебро-104м;10000;1000000
серебро-105;100000;1000000
серебро-106;10000;1000000
серебро-106м;10000;1000000
серебро-108м;10000;1000000
серебро-110м;10000;1000000
серебро-111;1000000;1000000
серебро-112;10000;100000
серебро-115;10000;100000
кадмий-104;100000;10000000
кадмий-107;1000000;10000000
кадмий-109;10000000;1000000
кадмий-113;1000000;1000000
кадмий-113м;1000000;1000000
кадмий-115;100000;1000000
кадмий-115м;1000000;1000000
индий-109;10000;1000000
индий-110;10000;1000000
индий-110м;10000;100000
индий-111;100000;1000000
индий-112;100000;1000000
индий-113м;100000;1000000
индий-114м;100000;1000000
индий-115м;100000;1000000
индий-116м;10000;100000
индий-117;10000;1000000
индий-117м;100000;1000000
индий-119м;100000;100000
олово-110;100000;10000000
олово-111;100000;1000000
олово-113;1000000;10000000
олово-117м;100000;1000000
олово-119м;1000000;10000000
олово-121;100000000;10000000
олово-121м;1000000;10000000
олово-123;1000000;1000000
олово-123м;100000;1000000
олово-125;100000;100000
олово-126;10000;100000
олово-127;10000;1000000
олово-128;10000;1000000
сурьма-115;10000;1000000
сурьма-116;10000;1000000
сурьма-116м;10000;100000
сурьма-117;100000;10000000
сурьма-118м;10000;1000000
сурьма-119;1000000;10000000
сурьма-120;100000;1000000
сурьма-120м;10000;1000000
сурьма-122;100000;10000
сурьма-124;10000;1000000
сурьма-124м;100000;1000000
сурьма-125;100000;1000000
сурьма-126;10000;100000
сурьма-126м;10000;100000
сурьма-127;10000;1000000
сурьма-128;10000;100000
сурьма-128м;10000;100000
сурьма-129;10000;1000000
сурьма-130;10000;100000
сурьма-131;10000;1000000
теллур-116;100000;10000000
теллур-121;10000;1000000
теллур-121м;100000;1000000
теллур-123;1000000;1000000
теллур-123м;100000;10000000
теллур-125м;1000000;10000000
теллур-127;1000000;1000000
теллур-127м;1000000;10000000
теллур-129;100000;1000000
теллур-129м;1000000;1000000
теллур-131;100000;100000
теллур-131м;10000;1000000
теллур-132;100000;10000000
теллур-133;10000;100000
теллур-133м;10000;100000
теллур-134;10000;1000000
иод-120;10000;100000
иод-120м;10000;100000
иод-121;100000;1000000
иод-123;100000;10000000
иод-124;10000;1000000
иод-125;1000000;1000000
иод-126;100000;1000000
иод-128;100000;100000
иод-129;100000;100000
иод-130;10000;1000000
иод-131;100000;1000000
иод-132;10000;100000
иод-132м;100000;1000000
иод-133;10000;1000000
иод-134;10000;100000
иод-135;10000;1000000
ксенон-133;1000000;10000
ксенон-133м;1000000;10000
ксенон-135;1000000;10000000000
ксенон-135м;100000;1000000000
ксенон-138;100000;1000000000
цезий-125;10000;10000
цезий-127;100000;100000
цезий-129;100000;100000
цезий-130;100000;1000000
цезий-131;1000000;1000000
цезий-132;10000;100000
цезий-134;10000;10000
цезий-134м;1000000;100000
цезий-135;10000000;10000000
цезий-135м;10000;1000000
цезий-136;10000;100000
цезий-137;10000;10000
цезий-138;10000;10000
барий-126;100000;10000000
барий-128;100000;10000000
барий-131;100000;1000000
барий-131м;100000;10000000
барий-133;10000;100000
барий-133м;100000;1000000
барий-135м;100000;1000000
барий-139;100000;100000
барий-140;10000;100000
барий-141;100000;100000
барий-142;100000;1000000
лантан-131;10000;1000000
лантан-132;10000;1000000
лантан-135;1000000;10000000
лантан-137;1000000;10000000
лантан-138;10000;1000000
лантан-140;10000;100000
лантан-141;100000;100000
лантан-142;10000;100000
лантан-143;100000;100000
церий-134;1000000;10000000
церий-135;10000;1000000
церий-137;1000000;10000000
церий-137м;1000000;1000000
церий-139;100000;1000000
церий-141;100000;10000000
церий-143;100000;1000000
церий-144;100000;100000
празеодим-136;10000;100000
празеодим-137;100000;1000000
празеодим-138м;10000;1000000
празеодим-139;100000;10000000
празеодим-142;100000;100000
празеодим-142м;10000000000;1000000000
празеодим-143;10000000;1000000
празеодим-144;100000;100000
празеодим-145;1000000;100000
празеодим-147;10000;100000
неодим-136;100000;1000000
неодим-138;1000000;10000000
неодим-139;100000;1000000
неодим-139м;10000;1000000
неодим-141;100000;10000000
неодим-147;100000;1000000
неодим-149;100000;1000000
неодим-151;10000;100000
прометий-141;10000;100000
прометий-143;100000;1000000
прометий-144;10000;1000000
прометий-145;1000000;10000000
прометий-146;10000;1000000
прометий-147;10000000;10000000
прометий-148;10000;100000
прометий-148м;10000;1000000
прометий-149;1000000;1000000
прометий-150;10000;100000
прометий-151;100000;1000000
самарий-141;10000;100000
самарий-141м;10000;1000000
самарий-142;100000;10000000
самарий-145;100000;10000000
самарий-146;10000;100000
самарий-151;10000000;100000000
самарий-153;100000;1000000
самарий-155;100000;1000000
самарий-156;100000;1000000
европий-145;10000;1000000
европий-146;10000;1000000
европий-147;100000;1000000
европий-148;10000;1000000
европий-149;100000;10000000
европий-150;10000;1000000
европий-150м;1000000;1000000
европий-152;10000;1000000
европий-152м;100000;1000000
европий-154;10000;1000000
европий-155;100000;10000000
европий-156;10000;1000000
европий-157;100000;1000000
европий-158;10000;100000
гадолиний-145;10000;100000
гадолиний-146;10000;1000000
гадолиний-147;10000;1000000
гадолиний-148;10000;100000
гадолиний-149;100000;1000000
гадолиний-151;100000;10000000
гадолиний-152;10000;10000
гадолиний-153;100000;10000000
гадолиний-159;1000000;1000000
тербий-147;10000;1000000
тербий-149;10000;1000000
тербий-150;10000;1000000
тербий-151;10000;1000000
тербий-153;100000;10000000
тербий-154;10000;1000000
тербий-155;100000;10000000
тербий-156;10000;1000000
тербий-156м2;1000000;10000000
тербий-156м;10000000;10000000
тербий-157;10000000;10000000
тербий-158;10000;1000000
тербий-160;10000;1000000
тербий-161;1000000;1000000
диспрозий-155;10000;1000000
диспрозий-157;100000;1000000
диспрозий-159;1000000;10000000
диспрозий-165;1000000;1000000
диспрозий-166;1000000;1000000
гольмий-155;100000;1000000
гольмий-157;100000;1000000
гольмий-159;100000;1000000
гольмий-161;100000;10000000
гольмий-162;10000000;10000000
гольмий-162м;10000;1000000
гольмий-164;1000000;1000000
гольмий-164м;1000000;10000000
гольмий-166;1000000;100000
гольмий-166м;10000;1000000
гольмий-167;100000;1000000
эрбий-161;10000;1000000
эрбий-165;1000000;10000000
эрбий-169;10000000;10000000
эрбий-171;100000;1000000
эрбий-172;100000;1000000
тулий-162;10000;1000000
тулий-166;10000;1000000
тулий-167;100000;1000000
тулий-170;1000000;1000000
тулий-171;10000000;100000000
тулий-172;100000;1000000
тулий-173;100000;1000000
тулий-175;10000;1
иттербий-162;100000;10000000
иттербий-166;100000;10000000
иттербий-167;100000;1000000
иттербий-169;100000;10000000
иттербий-175;1000000;10000000
иттербий-177;100000;1000000
иттербий-178;1000000;1000000
лютеций-169;10000;1000000
лютеций-170;10000;1000000
лютеций-171;10000;1000000
лютеций-172;10000;1000000
лютеций-173;100000;10000000
лютеций-174;100000;10000000
лютеций-174м;100000;10000000
лютеций-176;100000;1000000
лютеций-176м;1000000;1000000
лютеций-177;1000000;10000000
лютеций-177м;10000;1000000
лютеций-178;100000;100000
лютеций-178м;10000;100000
лютеций-179;1000000;1000000
гафний-170;100000;1000000
гафний-172;10000;1000000
гафний-173;100000;1000000
гафний-175;100000;1000000
гафний-177м;10000;100000
гафний-178м;10000;1000000
гафний-179м;10000;1000000
гафний-180м;10000;1000000
гафний-181;10000;1000000
гафний-182;100000;1000000
гафний-182м;10000;1000000
гафний-183;10000;1000000
гафний-184;100000;1000000
тантал-172;10000;1000000
тантал-173;10000;1000000
тантал-174;10000;1000000
тантал-175;10000;1000000
тантал-176;10000;1000000
тантал-177;100000;10000000
тантал-178;10000;1000000
тантал-179;1000000;10000000
тантал-180;10000;1000000
тантал-180м;1000000;10000000
тантал-182;10000;10000
тантал-182м;100000;1000000
тантал-183;100000;1000000
тантал-184;10000;1000000
тантал-185;100000;100000
тантал-186;10000;100000
вольфрам-176;100000;1000000
вольфрам-177;10000;1000000
вольфрам-178;10000;1000000
вольфрам-179;100000;10000000
вольфрам-181;1000000;10000000
вольфрам-185;10000000;10000000
вольфрам-187;100000;1000000
вольфрам-188;100000;100000
рений-177;10000;1000000
рений-178;10000;1000000
рений-181;10000;1000000
рений-182;10000;1000000
рений-182м;10000;1000000
рений-184;10000;1000000
рений-184м;100000;1000000
рений-186;1000000;1000000
рений-186м;1000000;10000000
рений-188;100000;100000
рений-188м;100000;10000000
рений-189;100000;1000000
осмий-180;100000;10000000
иридий-190;10000;1000000
иридий-190м2;10000;1000000
иридий-190м;10000000;10000000
иридий-192;10000;10000
иридий-192м;100000;10000000
иридий-193м;10000000;10000000
иридий-194;100000;100000
иридий-194м;10000;1000000
иридий-195;100000;1000000
иридий-195м;100000;1000000
платина-186;10000;1000000
платина-188;10000;1000000
платина-189;100000;1000000
платина-191;100000;1000000
платина-193;10000000;10000000
ртуть-193м;10000;1000000
ртуть-194;10000;1000000
ртуть-195;100000;1000000
ртуть-195м;100000;1000000
ртуть-197;100000;10000000
ртуть-197м;100000;1000000
ртуть-199м;100000;1000000
ртуть-203;100000;100000
таллий-194;10000;1000000
таллий-194м;10000;1000000
таллий-195;10000;1000000
таллий-197;100000;1000000
таллий-198;10000;1000000
таллий-198м;10000;1000000
таллий-199;100000;1000000
таллий-200;10000;1000000
свинец-214;100000;1000000
висмут-200;10000;1000000
висмут-201;10000;1000000
висмут-202;10000;1000000
висмут-203;10000;1000000
висмут-205;10000;1000000
висмут-206;10000;100000
висмут-207;10000;1000000
висмут-210;1000000;1000000
висмут-210м;10000;100000
висмут-212;10000;100000
висмут-213;100000;1000000
висмут-214;10000;100000
полоний-203;10000;1000000
полоний-205;10000;1000000
полоний-207;10000;1000000
актиний-228;10000;1000000
торий-226;1000000;10000000
торий-227;10000;10000
торий-228;1000;10000
торий-229;1000;1000
торий-230;1000;10000
торий-231;1000000;10000000
торий-232;1000;1000
торий-234;1000000;100000
протактиний-227;10000;1000000
протактиний-228;10000;1000000
протактиний-230;10000;1000000
протактиний-231;1000;1000
протактиний-232;10000;1000000
протактиний-233;100000;10000000
протактиний-234;10000;1000000
нептуний-236м;1000000;1000000
нептуний-237;1000;1000
нептуний-238;100000;1000000
нептуний-239;100000;10000000
нептуний-240;10000;1000000
плутоний-234;100000;10000000
плутоний-235;100000;10000000
плутоний-236;10000;10000
плутоний-237;1000000;10000000
плутоний-238;1000;10000
плутоний-239;1000;10000
плутоний-240;1000;1000
плутоний-241;100000;100000
плутоний-242;1000;10000
плутоний-243;1000000;10000000
америций-246м;10000;1000000
кюрий-238;100000;10000000
кюрий-240;100000;100000
кюрий-241;100000;1000000
кюрий-242;100000;100000
кюрий-243;1000;10000
кюрий-244;10000;10000
кюрий-245;1000;1000
кюрий-246;1000;1000
кюрий-247;1000;10000
кюрий-248;1000;1000
кюрий-249;1000000;1000000
кюрий-250;100;1000
берклий-245;100000;1000000
берклий-246;10000;1000000
эйнштейний-254м;100000;1000000
фермий-252;1000000;1000000
фермий-253;10000000;10000000
фермий-254;10000000;10000000
фермий-255;1000000;1000000
фермий-257;10000;100000
менделеевий-257;100000;10000000
менделеевий-258;100000;100000
торий-естественный;1000;1000
уран естественный;1000;1000
осмий-181;10000;1000000
осмий-182;100000;1000000
осмий-185;10000;1000000
осмий-189м;10000000;10000000
осмий-191;100000;10000000
осмий-191м;1000000;10000000
осмий-193;100000;1000000
осмий-194;100000;100000
иридий-182;10000;100000
иридий-184;10000;1000000
иридий-185;10000;1000000
иридий-186;10000;1000000
иридий-186м;10000;1000000
иридий-187;100000;1000000
иридий-188;10000;1000000
иридий-189;100000;10000000
платина-193м;1000000;10000000
платина-195м;100000;1000000
платина-197;1000000;1000000
платина-197м;100000;1000000
платина-199;100000;1000000
платина-200;100000;1000000
золото-193;100000;10000000
золото-194;10000;1000000
золото-195;100000;10000000
золото-198;100000;1000000
золото-198м;10000;1000000
золото-199;100000;1000000
золото-200;100000;100000
золото-200м;10000;1000000
золото-201;100000;1000000
ртуть-193;100000;1000000
таллий-201;100000;1000000
таллий-202;100000;1000000
таллий-204;10000000;10000
свинец-195м;10000;1000000
свинец-198;100000;1000000
свинец-199;10000;1000000
свинец-200;100000;1000000
свинец-201;10000;1000000
свинец-202;1000000;1000000
свинец-202м;10000;1000000
свинец-203;100000;1000000
свинец-205;10000000;10000000
свинец-209;100000000;1000000
свинец-210;10000;10000
свинец-211;1000000;1000000
свинец-212;10000;100000
полоний-210;10000;10000
астат-207;10000;1000000
астат-211;1000000;10000000
радон-222;10000;100000000
франций-222;1000000;100000
франций-223;100000;1000000
радий-223;100000;100000
радий-224;10000;100000
радий-225;100000;100000
радий-226;10000;10000
радий-227;100000;1000000
радий-228;10000;100000
актиний-224;100000;1000000
актиний-225;10000;10000
актиний-226;100000;100000
актиний-227;100;1000
уран-230;10000;100000
уран-231;100000;10000000
уран-232;1000;1000
уран-233;10000;10000
уран-234;10000;10000
уран-235;10000;10000
уран-236;10000;10000
уран-237;100000;1000000
уран-238;10000;10000
уран-239;100000;1000000
уран-240;1000000;10000000
нептуний-232;10000;1000000
нептуний-233;100000;10000000
нептуний-234;10000;1000000
нептуний-235;1000000;10000000
нептуний-236;100000;100000
плутоний-244;1000;10000
плутоний-245;100000;1000000
плутоний-246;100000;1000000
америций-237;100000;1000000
америций-238;10000;1000000
америций-239;100000;1000000
америций-240;10000;1000000
америций-241;1000;10000
америций-242;1000000;1000000
америций-242м;1000;10000
америций-243;1000;1000
америций-244;10000;1000000
америций-244м;10000000;10000000
америций-245;1000000;1000000
америций-246;10000;100000
берклий-247;1000;10000
берклий-249;1000000;1000000
берклий-250;10000;1000000
калифорний-244;10000000;10000000
калифорний-246;1000000;1000000
калифорний-248;10000;10000
калифорний-249;1000;1000
калифорний-250;10000;10000
калифорний-251;1000;1000
калифорний-252;10000;10000
калифорний-253;100000;100000
калифорний-254;1000;1000
эйнштейний-250;100000;1000000
эйнштейний-251;100000;10000000
эйнштейний-253;100000;100000
эйнштейний-254;10000;10000
ксенон-125;1000000;1000000
полоний-209;10000;10000
родий-106;0;0
полоний-208;10000;10000
углерод-13;0;0
бериллий-9;0;0
палладий-234;0;0
торий ест.;0;0
полоний-212;0;0
полоний-216;0;0
ксенон-131м;0;0
барий-137;0;0
